ven_lati,ven_long,ven_vlrven
'-3.746351','-38.558829','R$ 143.41'
'-3.735879','-38.558603','R$ 63.69'
'-3.724036','-38.549883','R$ 75.11'
'-3.7547576','-38.5312366','R$ 104.40'
'-3.7372071','-38.5646864','R$ 75.95'
'-3.742328','-38.567011','R$ 32.79'
'-3.727807','-38.553324','R$ 53.69'
'-3.736811','-38.57976','R$ 30.89'
'-3.738111','-38.527923','R$ 48.71'
'-3.731217','-38.570819','R$ 45.29'
'-3.731858','-38.55631','R$ 81.49'
'-3.736811','-38.57976','R$ 69.29'
'-3.724036','-38.549883','R$ 45.21'
'-3.731911','-38.576533','R$ 70.59'
'-3.746351','-38.558829','R$ 65.94'
'-3.733913','-38.523948','R$ 59.79'
'-3.741162','-38.534123','R$ 59.79'
'-3.736811','-38.57976','R$ 69.29'
'-3.736088','-38.558432','R$ 91.18'
'-3.735879','-38.558603','R$ 38.28'
'-3.734217','-38.537818','R$ 43.69'
'-3.725231','-38.563287','R$ 64.79'
'-3.731217','-38.570819','R$ 45.29'
'-3.738109','-38.555819','R$ 30.89'
'-3.7547576','-38.5312366','R$ 89.60'
'-3.735879','-38.558603','R$ 30.89'
'-3.730362','-38.563572','R$ 68.69'
'-3.731911','-38.576533','R$ 72.59'
'-3.731217','-38.570819','R$ 56.94'
'-3.723609','-38.566979','R$ 49.79'
'-3.733627','-38.538545','R$ 58.81'
'-3.742328','-38.567011','R$ 64.59'
'-3.724036','-38.549883','R$ 78.11'
'-3.736811','-38.57976','R$ 69.29'
'-3.724036','-38.549883','R$ 45.21'
'-3.731911','-38.576533','R$ 62.69'
'-3.736811','-38.57976','R$ 39.39'
'-3.731217','-38.570819','R$ 37.39'
'-3.733913','-38.523948','R$ 59.79'
'-3.744743','-38.55823','R$ 55.69'
'-3.7291','-38.54758','R$ 60.79'
'-3.741162','-38.534123','R$ 59.79'
'-3.734217','-38.537818','R$ 43.69'
'-3.735306','-38.553155','R$ 105.59'
'-3.744743','-38.55823','R$ 82.17'
'-3.736811','-38.57976','R$ 69.29'
'-3.73574','-38.55847','R$ 58.11'
'-3.735306','-38.553155','R$ 42.79'
'-3.725231','-38.563287','R$ 82.79'
'-3.738109','-38.555819','R$ 30.89'
'-3.73574','-38.55847','R$ 58.11'
'-3.733913','-38.523948','R$ 58.80'
'-3.7372071','-38.5646864','R$ 41.90'
'-3.736811','-38.57976','R$ 68.30'
'-3.73574','-38.55847','R$ 57.12'
'-3.723875','-38.567249','R$ 63.80'
'-3.742328','-38.567011','R$ 59.60'
'-3.724036','-38.549883','R$ 73.12'
'-3.7547576','-38.5312366','R$ 124.50'
'-3.736811','-38.57976','R$ 35.80'
'-3.73574','-38.55847','R$ 76.02'
'-3.733386','-38.562832','R$ 55.80'
'-3.744743','-38.55823','R$ 45.60'
'-3.728193','-38.561957','R$ 34.79'
'-3.736811','-38.57976','R$ 35.80'
'-3.742328','-38.567011','R$ 42.90'
'-3.726859','-38.555796','R$ 40.80'
'-3.733913','-38.523948','R$ 49.90'
'-3.73574','-38.55847','R$ 76.02'
'-3.734736','-38.562274','R$ 51.30'
'-3.744743','-38.55823','R$ 42.70'
'-3.738109','-38.555819','R$ 30.89'
'-3.739227','-38.562354','R$ 63.80'
'-3.72286','-38.542239','R$ 54.80'
'-3.724036','-38.549883','R$ 54.60'
'-3.739227','-38.562354','R$ 223.20'
'-3.733627','-38.538545','R$ 32.89'
'-3.7363951','-38.5589898','R$ 28.80'
'-3.730362','-38.563572','R$ 83.70'
'-3.7355839','-38.5630695','R$ 104.70'
'-3.741186','-38.555902','R$ 47.80'
'-3.736811','-38.57976','R$ 35.80'
'-3.7547576','-38.5312366','R$ 126.40'
'-3.733998','-38.531406','R$ 53.90'
'-3.726274','-38.534102','R$ 58.80'
'-3.756931','-38.563015','R$ 176.30'
'-3.736811','-38.57976','R$ 63.70'
'-3.73574','-38.55847','R$ 93.92'
'-3.723875','-38.567249','R$ 32.89'
'-3.746735','-38.540449','R$ 54.72'
'-3.734848','-38.553266','R$ 50.40'
'-3.749126','-38.531213','R$ 224.14'
'-3.739227','-38.562354','R$ 106.30'
'-3.738111','-38.527923','R$ 67.72'
'-3.741667','-38.546954','R$ 48.80'
'-3.734848','-38.553266','R$ 41.30'
'-3.731858','-38.55631','R$ 58.80'
'-3.726859','-38.555796','R$ 40.80'
'-3.736811','-38.57976','R$ 35.80'
'-3.741003','-38.55766','R$ 31.89'
'-3.744743','-38.55823','R$ 42.70'
'-3.735142','-38.56245','R$ 42.90'
'-3.741162','-38.534123','R$ 49.90'
'-3.735142','-38.56245','R$ 32.89'
'-3.727807','-38.553324','R$ 49.70'
'-3.73574','-38.55847','R$ 93.92'
'-3.728193','-38.561957','R$ 32.89'
'-3.738111','-38.527923','R$ 47.82'
'-3.738109','-38.555819','R$ 30.89'
'-3.724036','-38.549883','R$ 42.22'
'-3.736811','-38.57976','R$ 63.70'
'-3.741162','-38.534123','R$ 77.80'
'-3.726859','-38.555796','R$ 40.80'
'-3.744743','-38.55823','R$ 35.79'
'-3.742328','-38.567011','R$ 59.60'
'-3.725231','-38.563287','R$ 59.80'
'-3.726859','-38.555796','R$ 40.80'
'-3.724036','-38.549883','R$ 71.12'
'-3.733627','-38.538545','R$ 32.89'
'-3.731911','-38.576533','R$ 77.50'
'-3.730348','-38.56373','R$ 43.90'
'-3.726859','-38.555796','R$ 40.80'
'-3.731911','-38.576533','R$ 77.50'
'-3.736811','-38.57976','R$ 35.80'
'-3.73574','-38.55847','R$ 88.50'
'-3.733386','-38.562832','R$ 76.70'
'-3.724036','-38.549883','R$ 45.22'
'-3.725231','-38.563287','R$ 72.70'
'-3.723875','-38.567249','R$ 63.80'
'-3.725447','-38.559277','R$ 61.80'
'-3.73574','-38.55847','R$ 47.12'
'-3.730563','-38.547759','R$ 32.89'
'-3.754701','-38.531129','R$ 93.60'
'-3.736811','-38.57976','R$ 35.80'
'-3.742845','-38.530627','R$ 46.32'
'-3.733627','-38.538545','R$ 32.89'
'-3.744743','-38.55823','R$ 35.79'
'-3.752724','-38.551467','R$ 226.20'
'-3.741162','-38.534123','R$ 49.90'
'-3.736811','-38.57976','R$ 37.70'
'-3.73574','-38.55847','R$ 93.92'
'-3.732243','-38.553508','R$ 96.50'
'-3.733373','-38.562841','R$ 31.69'
'-3.725806','-38.533971','R$ 40.20'
'-3.731911','-38.576533','R$ 67.50'
'-3.73574','-38.55847','R$ 86.30'
'-3.741003','-38.55766','R$ 30.79'
'-3.736811','-38.57976','R$ 63.70'
'-3.727807','-38.553324','R$ 49.70'
'-3.726859','-38.555796','R$ 40.80'
'-3.738109','-38.555819','R$ 30.89'
'-3.736811','-38.57976','R$ 63.70'
'-3.733386','-38.562832','R$ 87.70'
'-3.754701','-38.531129','R$ 204.30'
'-3.736811','-38.57976','R$ 63.70'
'-3.723875','-38.567249','R$ 99.60'
'-3.735142','-38.56245','R$ 85.70'
'-3.736811','-38.57976','R$ 63.70'
'-3.7547576','-38.5312366','R$ 119.40'
'-3.733627','-38.538545','R$ 83.60'
'-3.748972','-38.562417','R$ 70.80'
'-3.736811','-38.57976','R$ 31.89'
'-3.735142','-38.56245','R$ 42.90'
'-3.726859','-38.555796','R$ 40.80'
'-3.746351','-38.558829','R$ 55.90'
'-3.725231','-38.563287','R$ 49.90'
'-3.744743','-38.55823','R$ 33.29'
'-3.728466','-38.549139','R$ 101.54'
'-3.742328','-38.567011','R$ 30.79'
'-3.739227','-38.562354','R$ 39.80'
'-3.736811','-38.57976','R$ 35.80'
'-3.73574','-38.55847','R$ 54.12'
'-3.746351','-38.558829','R$ 57.90'
'-3.735142','-38.56245','R$ 42.90'
'-3.728466','-38.549139','R$ 72.30'
'-3.725806','-38.533971','R$ 39.60'
'-3.744743','-38.55823','R$ 33.29'
'-3.742328','-38.567011','R$ 30.79'
'-3.7291','-38.54758','R$ 72.60'
'-3.738111','-38.527923','R$ 32.89'
'-3.733627','-38.538545','R$ 30.89'
'-3.73574','-38.55847','R$ 82.92'
'-3.726859','-38.555796','R$ 40.80'
'-3.728466','-38.549139','R$ 33.79'
'-3.736811','-38.57976','R$ 35.80'
'-3.7372071','-38.5646864','R$ 41.90'
'-3.73574','-38.55847','R$ 91.60'
'-3.754701','-38.531129','R$ 143.40'
'-3.742328','-38.567011','R$ 30.79'
'-3.736811','-38.57976','R$ 58.80'
'-3.724036','-38.549883','R$ 42.22'
'-3.741162','-38.534123','R$ 77.80'
'-3.739227','-38.562354','R$ 68.80'
'-3.731911','-38.576533','R$ 39.80'
'-3.736811','-38.57976','R$ 35.80'
'-3.746351','-38.558829','R$ 57.90'
'-3.730348','-38.56373','R$ 43.90'
'-3.748901','-38.550991','R$ 42.90'
'-3.736811','-38.57976','R$ 35.80'
'-3.727807','-38.553324','R$ 41.80'
'-3.726859','-38.555796','R$ 40.80'
'-3.738111','-38.527923','R$ 32.89'
'-3.736811','-38.57976','R$ 35.80'
'-3.742328','-38.567011','R$ 30.79'
'-3.726859','-38.555796','R$ 43.82'
'-3.7291','-38.54758','R$ 38.80'
'-3.73574','-38.55847','R$ 86.30'
'-3.738109','-38.555819','R$ 30.89'
'-3.734217','-38.537818','R$ 45.70'
'-3.723894','-38.549495','R$ 42.90'
'-3.742328','-38.567011','R$ 30.79'
'-3.742845','-38.530627','R$ 46.32'
'-3.738109','-38.555819','R$ 30.89'
'-3.741162','-38.534123','R$ 77.80'
'-3.726274','-38.534102','R$ 86.60'
'-3.756931','-38.563015','R$ 43.80'
'-3.754701','-38.531129','R$ 131.40'
'-3.736811','-38.57976','R$ 35.80'
'-3.736088','-38.558432','R$ 104.50'
'-3.746735','-38.540449','R$ 54.72'
'-3.723609','-38.566979','R$ 95.70'
'-3.726859','-38.555796','R$ 47.80'
'-3.724036','-38.549883','R$ 71.12'
'-3.736811','-38.57976','R$ 63.70'
'-3.725825','-38.548942','R$ 48.80'
'-3.726859','-38.555796','R$ 77.80'
'-3.728131','-38.561952','R$ 31.39'
'-3.738109','-38.555819','R$ 30.89'
'-3.742845','-38.530627','R$ 66.30'
'-3.736811','-38.57976','R$ 35.80'
'-3.73574','-38.55847','R$ 60.90'
'-3.744743','-38.55823','R$ 33.29'
'-3.723875','-38.567249','R$ 45.80'
'-3.733627','-38.538545','R$ 30.89'
'-3.736811','-38.57976','R$ 63.70'
'-3.7349328','-38.5621358','R$ 134.40'
'-3.731858','-38.55631','R$ 75.95'
'-3.748901','-38.550991','R$ 42.90'
'-3.738109','-38.555819','R$ 30.89'
'-3.723042','-38.56206','R$ 227.20'
'-3.738109','-38.555819','R$ 30.89'
'-3.742354','-38.536059','R$ 57.70'
'-3.735879','-38.558603','R$ 31.19'
'-3.746735','-38.540449','R$ 39.82'
'-3.724036','-38.549883','R$ 83.04'
'-3.728131','-38.561952','R$ 28.89'
'-3.736811','-38.57976','R$ 63.70'
'-3.738111','-38.527923','R$ 32.89'
'-3.733411','-38.55941','R$ 32.89'
'-3.7547576','-38.5312366','R$ 94.50'
'-3.741162','-38.534123','R$ 77.80'
'-3.724036','-38.549883','R$ 48.80'
'-3.725825','-38.548942','R$ 32.89'
'-3.726859','-38.555796','R$ 47.80'
'-3.736811','-38.57976','R$ 63.70'
'-3.736811','-38.57976','R$ 31.89'
'-3.725231','-38.563287','R$ 28.89'
'-3.742328','-38.567011','R$ 57.70'
'-3.73574','-38.55847','R$ 60.90'
'-3.746351','-38.558829','R$ 57.90'
'-3.749126','-38.531213','R$ 148.32'
'-3.733627','-38.538545','R$ 47.82'
'-3.726859','-38.555796','R$ 95.60'
'-3.736811','-38.57976','R$ 35.80'
'-3.733386','-38.562832','R$ 83.70'
'-3.7349328','-38.5621358','R$ 54.80'
'-3.741162','-38.534123','R$ 49.90'
'-3.738111','-38.527923','R$ 47.82'
'-3.727807','-38.553324','R$ 60.90'
'-3.735142','-38.56245','R$ 42.90'
'-3.724036','-38.549883','R$ 28.89'
'-3.736811','-38.57976','R$ 78.80'
'-3.726859','-38.555796','R$ 125.60'
'-3.73574','-38.55847','R$ 105.60'
'-3.741003','-38.55766','R$ 30.79'
'-3.735142','-38.56245','R$ 42.90'
'-3.738111','-38.527923','R$ 47.82'
'-3.742354','-38.536059','R$ 113.50'
'-3.735142','-38.56245','R$ 102.70'
'-3.74925','-38.547696','R$ 43.82'
'-3.735306','-38.553155','R$ 34.79'
'-3.731858','-38.55631','R$ 61.80'
'-3.724036','-38.549883','R$ 88.62'
'-3.736811','-38.57976','R$ 63.70'
'-3.73043','-38.531947','R$ 48.80'
'-3.731858','-38.55631','R$ 34.79'
'-3.742328','-38.567011','R$ 57.70'
'-3.723875','-38.567249','R$ 63.80'
'-3.731911','-38.576533','R$ 37.80'
'-3.724036','-38.549883','R$ 45.80'
'-3.727807','-38.553324','R$ 41.80'
'-3.725231','-38.563287','R$ 35.90'
'-3.744743','-38.55823','R$ 48.22'
'-3.7303','-38.560955','R$ 39.82'
'-3.735879','-38.558603','R$ 68.12'
'-3.735142','-38.56245','R$ 42.90'
'-3.724036','-38.549883','R$ 45.80'
'-3.738109','-38.555819','R$ 30.89'
'-3.733913','-38.523948','R$ 57.80'
'-3.725825','-38.548942','R$ 51.80'
'-3.739438','-38.565396','R$ 83.50'
'-3.734217','-38.537818','R$ 40.10'
'-3.7303','-38.560955','R$ 34.89'
'-3.725825','-38.548942','R$ 51.80'
'-3.738111','-38.527923','R$ 47.82'
'-3.731911','-38.576533','R$ 74.60'
'-3.731858','-38.55631','R$ 31.89'
'-3.748972','-38.562417','R$ 60.63'
'-3.73574','-38.55847','R$ 88.50'
'-3.735306','-38.553155','R$ 60.70'
'-3.734736','-38.562274','R$ 55.40'
'-3.7547576','-38.5312366','R$ 92.50'
'-3.735879','-38.558603','R$ 30.89'
'-3.741162','-38.534123','R$ 77.80'
'-3.739227','-38.562354','R$ 39.80'
'-3.724036','-38.549883','R$ 48.80'
'-3.738111','-38.527923','R$ 45.72'
'-3.72842','-38.562057','R$ 55.80'
'-3.731911','-38.576533','R$ 102.30'
'-3.736811','-38.57976','R$ 63.70'
'-3.733386','-38.562832','R$ 56.80'
'-3.738111','-38.527923','R$ 47.82'
'-3.742328','-38.567011','R$ 30.79'
'-3.73928','-38.562287','R$ 135.80'
'-3.733627','-38.538545','R$ 47.82'
'-3.738109','-38.555819','R$ 30.89'
'-3.7303','-38.560955','R$ 73.70'
'-3.723875','-38.567249','R$ 32.89'
'-3.731911','-38.576533','R$ 83.60'
'-3.7372071','-38.5646864','R$ 41.90'
'-3.7355839','-38.5630695','R$ 101.60'
'-3.736811','-38.57976','R$ 30.79'
'-3.73574','-38.55847','R$ 96.70'
'-3.723705','-38.541582','R$ 28.89'
'-3.725806','-38.533971','R$ 39.60'
'-3.725825','-38.548942','R$ 51.80'
'-3.731858','-38.55631','R$ 54.60'
'-3.727807','-38.553324','R$ 53.72'
'-3.742328','-38.567011','R$ 30.79'
'-3.725231','-38.563287','R$ 32.89'
'-3.738111','-38.527923','R$ 43.82'
'-3.736187','-38.545863','R$ 45.80'
'-3.731911','-38.576533','R$ 101.42'
'-3.724213','-38.567248','R$ 29.89'
'-3.73574','-38.55847','R$ 111.80'
'-3.741667','-38.546954','R$ 32.89'
'-3.735879','-38.558603','R$ 69.30'
'-3.7593484','-38.5698974','R$ 118.40'
'-3.735879','-38.558603','R$ 38.80'
'-3.725825','-38.548942','R$ 129.50'
'-3.767178','-38.535888','R$ 71.70'
'-3.736811','-38.57976','R$ 58.80'
'-3.73574','-38.55847','R$ 111.80'
'-3.742354','-38.536059','R$ 45.80'
'-3.736811','-38.57976','R$ 71.60'
'-3.725825','-38.548942','R$ 97.60'
'-3.735142','-38.56245','R$ 74.80'
'-3.725825','-38.548942','R$ 63.80'
'-3.731911','-38.576533','R$ 51.80'
'-3.7547576','-38.5312366','R$ 94.60'
'-3.730348','-38.56373','R$ 43.90'
'-3.736811','-38.57976','R$ 35.80'
'-3.741667','-38.546954','R$ 32.89'
'-3.748901','-38.550991','R$ 45.90'
'-3.731911','-38.576533','R$ 51.80'
'-3.748972','-38.562417','R$ 64.21'
'-3.725806','-38.533971','R$ 39.60'
'-3.73574','-38.55847','R$ 89.92'
'-3.724036','-38.549883','R$ 59.60'
'-3.736811','-38.57976','R$ 35.80'
'-3.734217','-38.537818','R$ 40.10'
'-3.731911','-38.576533','R$ 68.40'
'-3.738109','-38.555819','R$ 28.89'
'-3.73574','-38.55847','R$ 47.12'
'-3.7291','-38.54758','R$ 32.89'
'-3.723875','-38.567249','R$ 63.80'
'-3.725231','-38.563287','R$ 59.80'
'-3.724213','-38.567248','R$ 28.89'
'-3.736811','-38.57976','R$ 39.80'
'-3.73574','-38.55847','R$ 84.50'
'-3.735142','-38.56245','R$ 42.90'
'-3.7547576','-38.5312366','R$ 122.40'
'-3.73928','-38.562287','R$ 66.90'
'-3.733386','-38.562832','R$ 56.80'
'-3.7303','-38.560955','R$ 34.89'
'-3.738109','-38.555819','R$ 28.89'
'-3.727807','-38.553324','R$ 42.82'
'-3.735879','-38.558603','R$ 70.80'
'-3.736811','-38.57976','R$ 63.70'
'-3.73574','-38.55847','R$ 89.92'
'-3.723875','-38.567249','R$ 32.89'
'-3.725268','-38.563239','R$ 87.70'
'-3.735142','-38.56245','R$ 145.60'
'-3.73043','-38.531947','R$ 51.80'
'-3.756931','-38.563015','R$ 139.34'
'-3.746351','-38.558829','R$ 71.80'
'-3.731911','-38.576533','R$ 37.80'
'-3.724036','-38.549883','R$ 28.89'
'-3.731217','-38.570819','R$ 46.40'
'-3.727807','-38.553324','R$ 41.80'
'-3.742354','-38.536059','R$ 42.80'
'-3.756559','-38.550007','R$ 64.80'
'-3.725806','-38.533971','R$ 37.70'
'-3.728193','-38.561957','R$ 28.89'
'-3.73574','-38.55847','R$ 91.40'
'-3.741667','-38.546954','R$ 66.70'
'-3.731911','-38.576533','R$ 38.60'
'-3.738109','-38.555819','R$ 30.89'
'-3.73416','-38.524237','R$ 63.40'
'-3.73574','-38.55847','R$ 74.50'
'-3.733386','-38.562832','R$ 55.80'
'-3.723875','-38.567249','R$ 28.89'
'-3.735306','-38.553155','R$ 71.83'
'-3.723875','-38.567249','R$ 28.89'
'-3.742845','-38.530627','R$ 46.80'
'-3.7291','-38.54758','R$ 28.89'
'-3.73574','-38.55847','R$ 73.81'
'-3.725268','-38.563239','R$ 49.90'
'-3.724213','-38.567248','R$ 28.89'
'-3.725806','-38.533971','R$ 32.69'
'-3.7363951','-38.5589898','R$ 71.70'
'-3.723705','-38.541582','R$ 46.90'
'-3.733386','-38.562832','R$ 56.80'
'-3.722855','-38.564111','R$ 116.91'
'-3.727807','-38.553324','R$ 55.21'
'-3.731911','-38.576533','R$ 91.50'
'-3.7547576','-38.5312366','R$ 137.71'
'-3.735306','-38.553155','R$ 85.60'
'-3.730362','-38.563572','R$ 119.50'
'-3.738109','-38.555819','R$ 28.89'
'-3.731858','-38.55631','R$ 75.95'
'-3.733627','-38.538545','R$ 79.70'
'-3.7593484','-38.5698974','R$ 114.40'
'-3.7291','-38.54758','R$ 52.70'
'-3.735306','-38.553155','R$ 69.60'
'-3.730362','-38.563572','R$ 55.80'
'-3.735142','-38.56245','R$ 28.89'
'-3.7372071','-38.5646864','R$ 41.90'
'-3.749126','-38.531213','R$ 35.70'
'-3.73574','-38.55847','R$ 70.50'
'-3.736811','-38.57976','R$ 35.80'
'-3.734217','-38.537818','R$ 42.80'
'-3.725268','-38.563239','R$ 111.60'
'-3.7547576','-38.5312366','R$ 55.80'
'-3.723705','-38.541582','R$ 60.80'
'-3.73574','-38.55847','R$ 63.50'
'-3.74925','-38.547696','R$ 45.81'
'-3.735306','-38.553155','R$ 42.80'
'-3.731858','-38.55631','R$ 41.01'
'-3.734736','-38.562274','R$ 52.90'
'-3.736811','-38.57976','R$ 35.80'
'-3.733373','-38.562841','R$ 61.80'
'-3.738109','-38.555819','R$ 28.89'
'-3.726274','-38.534102','R$ 111.95'
'-3.735142','-38.56245','R$ 121.70'
'-3.7291','-38.54758','R$ 38.80'
'-3.7547576','-38.5312366','R$ 106.40'
'-3.724036','-38.549883','R$ 74.91'
'-3.73574','-38.55847','R$ 70.81'
'-3.735306','-38.553155','R$ 75.83'
'-3.738109','-38.555819','R$ 28.89'
'-3.746351','-38.558829','R$ 68.80'
'-3.735142','-38.56245','R$ 78.70'
'-3.733627','-38.538545','R$ 89.40'
'-3.738109','-38.555819','R$ 28.89'
'-3.756931','-38.563015','R$ 106.51'
'-3.736811','-38.57976','R$ 40.80'
'-3.723705','-38.541582','R$ 42.90'
'-3.724036','-38.549883','R$ 28.89'
'-3.73416','-38.524237','R$ 63.40'
'-3.73574','-38.55847','R$ 70.81'
'-3.74925','-38.547696','R$ 58.11'
'-3.749126','-38.531213','R$ 44.01'
'-3.746351','-38.558829','R$ 55.90'
'-3.73416','-38.524237','R$ 63.40'
'-3.731911','-38.576533','R$ 61.70'
'-3.735879','-38.558603','R$ 28.89'
'-3.742354','-38.536059','R$ 47.80'
'-3.749126','-38.531213','R$ 158.10'
'-3.734217','-38.537818','R$ 40.50'
'-3.733627','-38.538545','R$ 60.90'
'-3.737547','-38.565726','R$ 145.50'
'-3.74925','-38.547696','R$ 45.81'
'-3.744743','-38.55823','R$ 39.80'
'-3.736811','-38.57976','R$ 63.70'
'-3.741003','-38.55766','R$ 32.89'
'-3.746351','-38.558829','R$ 135.70'
'-3.724036','-38.549883','R$ 31.89'
'-3.733998','-38.531406','R$ 63.40'
'-3.73928','-38.562287','R$ 62.90'
'-3.731217','-38.570819','R$ 49.90'
'-3.7372071','-38.5646864','R$ 75.95'
'-3.746735','-38.540449','R$ 54.15'
'-3.7547576','-38.5312366','R$ 116.51'
'-3.735879','-38.558603','R$ 40.80'
'-3.746735','-38.540449','R$ 73.83'
'-3.739227','-38.562354','R$ 97.50'
'-3.738109','-38.555819','R$ 57.80'
'-3.736811','-38.57976','R$ 71.70'
'-3.723875','-38.567249','R$ 63.80'
'-3.742328','-38.567011','R$ 30.79'
'-3.738109','-38.555819','R$ 27.89'
'-3.724036','-38.549883','R$ 41.80'
'-3.731911','-38.576533','R$ 82.50'
'-3.746351','-38.558829','R$ 64.80'
'-3.730348','-38.56373','R$ 41.90'
'-3.721867','-38.553472','R$ 108.60'
'-3.736811','-38.57976','R$ 33.79'
'-3.748901','-38.550991','R$ 47.90'
'-3.725806','-38.533971','R$ 35.69'
'-3.733627','-38.538545','R$ 37.70'
'-3.734217','-38.537818','R$ 41.40'
'-3.731911','-38.576533','R$ 140.30'
'-3.736811','-38.57976','R$ 53.80'
'-3.7291','-38.54758','R$ 27.89'
'-3.73574','-38.55847','R$ 55.90'
'-3.736187','-38.545863','R$ 43.80'
'-3.735306','-38.553155','R$ 96.96'
'-3.727807','-38.553324','R$ 40.80'
'-3.748972','-38.562417','R$ 47.30'
'-3.725231','-38.563287','R$ 53.40'
'-3.742328','-38.567011','R$ 29.79'
'-3.736811','-38.57976','R$ 33.79'
'-3.723705','-38.541582','R$ 33.39'
'-3.737547','-38.565726','R$ 98.70'
'-3.73928','-38.562287','R$ 81.80'
'-3.736811','-38.57976','R$ 53.80'
'-3.738109','-38.555819','R$ 46.80'
'-3.725231','-38.563287','R$ 27.89'
'-3.742845','-38.530627','R$ 48.30'
'-3.731911','-38.576533','R$ 60.70'
'-3.742354','-38.536059','R$ 52.70'
'-3.724036','-38.549883','R$ 71.70'
'-3.746735','-38.540449','R$ 41.80'
'-3.756559','-38.550007','R$ 31.89'
'-3.738109','-38.555819','R$ 27.89'
'-3.724036','-38.549883','R$ 41.80'
'-3.742328','-38.567011','R$ 29.79'
'-3.737547','-38.565726','R$ 59.70'
'-3.7363951','-38.5589898','R$ 86.60'
'-3.738111','-38.527923','R$ 67.71'
'-3.733627','-38.538545','R$ 43.90'
'-3.731911','-38.576533','R$ 59.20'
'-3.73574','-38.55847','R$ 68.60'
'-3.733386','-38.562832','R$ 27.89'
'-3.736187','-38.545863','R$ 43.80'
'-3.723875','-38.567249','R$ 59.80'
'-3.735879','-38.558603','R$ 97.50'
'-3.737547','-38.565726','R$ 86.80'
'-3.7291','-38.54758','R$ 41.80'
'-3.736811','-38.57976','R$ 65.60'
'-3.73928','-38.562287','R$ 39.50'
'-3.73574','-38.55847','R$ 73.80'
'-3.738111','-38.527923','R$ 46.71'
'-3.724036','-38.549883','R$ 46.01'
'-3.725806','-38.533971','R$ 35.69'
'-3.731911','-38.576533','R$ 71.00'
'-3.73574','-38.55847','R$ 70.81'
'-3.737547','-38.565726','R$ 46.90'
'-3.731217','-38.570819','R$ 52.90'
'-3.736811','-38.57976','R$ 33.79'
'-3.73574','-38.55847','R$ 76.81'
'-3.723894','-38.549495','R$ 36.15'
'-3.736811','-38.57976','R$ 59.70'
'-3.7291','-38.54758','R$ 56.30'
'-3.725806','-38.533971','R$ 35.69'
'-3.738109','-38.555819','R$ 39.80'
'-3.738111','-38.527923','R$ 46.71'
'-3.723705','-38.541582','R$ 47.30'
'-3.73574','-38.55847','R$ 72.60'
'-3.734217','-38.537818','R$ 50.71'
'-3.735879','-38.558603','R$ 30.89'
'-3.735142','-38.56245','R$ 40.90'
'-3.7547576','-38.5312366','R$ 124.61'
'-3.735142','-38.56245','R$ 70.80'
'-3.731217','-38.570819','R$ 48.90'
'-3.736811','-38.57976','R$ 59.80'
'-3.736187','-38.545863','R$ 58.15'
'-3.746735','-38.540449','R$ 44.80'
'-3.74925','-38.547696','R$ 27.89'
'-3.742328','-38.567011','R$ 29.79'
'-3.736811','-38.57976','R$ 61.60'
'-3.731911','-38.576533','R$ 30.79'
'-3.7363951','-38.5589898','R$ 86.60'
'-3.73574','-38.55847','R$ 76.81'
'-3.744743','-38.55823','R$ 60.71'
'-3.735879','-38.558603','R$ 35.89'
'-3.738111','-38.527923','R$ 44.81'
'-3.727807','-38.553324','R$ 49.70'
'-3.725806','-38.533971','R$ 35.69'
'-3.731911','-38.576533','R$ 36.80'
'-3.7291','-38.54758','R$ 27.89'
'-3.748901','-38.550991','R$ 40.90'
'-3.731911','-38.576533','R$ 70.00'
'-3.738111','-38.527923','R$ 46.71'
'-3.723705','-38.541582','R$ 47.30'
'-3.736811','-38.57976','R$ 33.79'
'-3.735142','-38.56245','R$ 40.90'
'-3.738111','-38.527923','R$ 29.79'
'-3.723875','-38.567249','R$ 30.89'
'-3.728466','-38.549139','R$ 40.80'
'-3.738109','-38.555819','R$ 30.89'
'-3.73574','-38.55847','R$ 44.70'
'-3.7547576','-38.5312366','R$ 108.40'
'-3.724036','-38.549883','R$ 69.70'
'-3.742328','-38.567011','R$ 29.79'
'-3.724213','-38.567248','R$ 27.89'
'-3.726859','-38.555796','R$ 34.79'
'-3.73574','-38.55847','R$ 73.70'
'-3.723875','-38.567249','R$ 30.89'
'-3.73928','-38.562287','R$ 49.21'
'-3.726274','-38.534102','R$ 105.95'
'-3.725231','-38.563287','R$ 27.89'
'-3.722855','-38.564111','R$ 114.52'
'-3.748966','-38.562411','R$ 46.90'
'-3.728764','-38.553886','R$ 53.80'
'-3.748951','-38.557283','R$ 27.89'
'-3.73574','-38.55847','R$ 76.81'
'-3.73928','-38.562287','R$ 49.21'
'-3.723609','-38.566979','R$ 58.15'
'-3.736811','-38.57976','R$ 59.70'
'-3.741162','-38.534123','R$ 73.80'
'-3.73574','-38.55847','R$ 76.81'
'-3.736811','-38.57976','R$ 55.70'
'-3.735879','-38.558603','R$ 37.80'
'-3.7547576','-38.5312366','R$ 140.30'
'-3.748972','-38.562417','R$ 67.71'
'-3.737547','-38.565726','R$ 40.90'
'-3.7372071','-38.5646864','R$ 43.90'
'-3.731911','-38.576533','R$ 41.20'
'-3.7355839','-38.5630695','R$ 101.60'
'-3.73928','-38.562287','R$ 58.60'
